SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
2.864	0.778	24564.507	-3849.585	3184.794	
2.865	0.779	24564.528	-3849.581	3184.789	
2.866	0.78	24564.55	-3849.578	3184.785	
2.867	0.781	24564.573	-3849.575	3184.78	
2.868	0.782	24564.596	-3849.572	3184.776	
2.869	0.783	24564.619	-3849.569	3184.771	
2.87	0.784	24564.642	-3849.566	3184.767	
2.871	0.785	24564.665	-3849.563	3184.762	
2.872	0.786	24564.688	-3849.56	3184.758	
2.873	0.787	24564.711	-3849.557	3184.753	
2.874	0.788	24564.734	-3849.554	3184.749	
2.875	0.789	24564.756	-3849.551	3184.744	
2.876	0.79	24564.777	-3849.548	3184.74	
2.877	0.791	24564.8	-3849.545	3184.735	
2.878	0.792	24564.823	-3849.542	3184.731	
2.879	0.793	24564.846	-3849.539	3184.726	
2.88	0.794	24564.869	-3849.535	3184.721	
2.881	0.795	24564.892	-3849.532	3184.717	
2.882	0.796	24564.915	-3849.529	3184.712	
2.883	0.798	24564.938	-3849.526	3184.708	
2.884	0.799	24564.96	-3849.523	3184.703	
2.885	0.8	24564.983	-3849.52	3184.699	
2.886	0.801	24565.006	-3849.517	3184.694	
2.887	0.802	24565.029	-3849.514	3184.69	
2.888	0.803	24565.052	-3849.511	3184.685	
2.889	0.804	24565.075	-3849.508	3184.68	
2.89	0.805	24565.098	-3849.504	3184.676	
2.891	0.806	24565.121	-3849.501	3184.671	
2.892	0.807	24565.144	-3849.498	3184.667	
2.893	0.808	24565.166	-3849.495	3184.662	
2.894	0.809	24565.189	-3849.492	3184.658	
2.895	0.81	24565.212	-3849.489	3184.653	
2.896	0.811	24565.235	-3849.486	3184.649	
2.897	0.812	24565.26	-3849.483	3184.644	
2.898	0.813	24565.283	-3849.48	3184.639	
2.899	0.814	24565.306	-3849.476	3184.635	
2.9	0.815	24565.329	-3849.473	3184.63	
2.901	0.816	24565.351	-3849.47	3184.625	
2.902	0.817	24565.374	-3849.467	3184.621	
2.903	0.819	24565.397	-3849.464	3184.616	
2.904	0.82	24565.42	-3849.461	3184.612	
2.905	0.821	24565.443	-3849.458	3184.607	
2.906	0.822	24565.466	-3849.455	3184.602	
2.907	0.823	24565.489	-3849.452	3184.598	
2.908	0.824	24565.514	-3849.448	3184.593	
2.909	0.825	24565.536	-3849.445	3184.589	
2.91	0.826	24565.559	-3849.442	3184.584	
2.911	0.827	24565.582	-3849.439	3184.579	
2.912	0.828	24565.605	-3849.436	3184.575	
2.913	0.829	24565.628	-3849.433	3184.57	
2.914	0.83	24565.651	-3849.43	3184.566	
2.915	0.831	24565.676	-3849.427	3184.561	
2.916	0.832	24565.699	-3849.423	3184.556	
2.917	0.833	24565.722	-3849.42	3184.552	
2.918	0.834	24565.744	-3849.417	3184.547	
2.919	0.835	24565.767	-3849.414	3184.542	
2.92	0.837	24565.79	-3849.411	3184.538	
2.921	0.838	24565.815	-3849.407	3184.533	
2.922	0.839	24565.838	-3849.404	3184.528	
2.923	0.84	24565.861	-3849.401	3184.524	
2.924	0.841	24565.884	-3849.398	3184.519	
2.925	0.842	24565.908	-3849.395	3184.515	
2.926	0.843	24565.931	-3849.392	3184.51	
2.927	0.844	24565.954	-3849.389	3184.505	
2.928	0.845	24565.977	-3849.385	3184.5	
2.929	0.846	24566	-3849.382	3184.496	
2.93	0.847	24566.025	-3849.379	3184.491	
2.931	0.848	24566.048	-3849.376	3184.486	
2.932	0.849	24566.071	-3849.373	3184.482	
2.933	0.85	24566.095	-3849.37	3184.477	
2.934	0.851	24566.118	-3849.366	3184.472	
2.935	0.853	24566.141	-3849.363	3184.468	
2.936	0.854	24566.164	-3849.36	3184.463	
2.937	0.855	24566.189	-3849.357	3184.458	
2.938	0.856	24566.212	-3849.354	3184.453	
2.939	0.857	24566.235	-3849.351	3184.449	
2.94	0.858	24566.259	-3849.347	3184.444	
2.941	0.859	24566.282	-3849.344	3184.439	
2.942	0.86	24566.305	-3849.341	3184.435	
2.943	0.861	24566.33	-3849.338	3184.43	
2.944	0.862	24566.353	-3849.335	3184.425	
2.945	0.863	24566.376	-3849.332	3184.421	
2.946	0.864	24566.401	-3849.328	3184.416	
2.947	0.865	24566.423	-3849.325	3184.411	
2.948	0.866	24566.446	-3849.322	3184.407	
2.949	0.868	24566.471	-3849.319	3184.402	
2.95	0.869	24566.494	-3849.316	3184.397	
2.951	0.87	24566.517	-3849.312	3184.392	
2.952	0.871	24566.542	-3849.309	3184.387	
2.953	0.872	24566.565	-3849.306	3184.383	
2.954	0.873	24566.587	-3849.303	3184.378	
2.955	0.874	24566.612	-3849.3	3184.373	
2.956	0.875	24566.635	-3849.296	3184.369	
2.957	0.876	24566.66	-3849.293	3184.364	
2.958	0.877	24566.683	-3849.29	3184.359	
2.959	0.878	24566.708	-3849.287	3184.354	
2.96	0.879	24566.73	-3849.284	3184.35	
2.961	0.881	24566.753	-3849.28	3184.345	
2.962	0.882	24566.778	-3849.277	3184.34	
2.963	0.883	24566.801	-3849.274	3184.335	
2.964	0.884	24566.826	-3849.271	3184.33	
2.965	0.885	24566.849	-3849.267	3184.326	
2.966	0.886	24566.874	-3849.264	3184.321	
2.967	0.887	24566.896	-3849.261	3184.316	
2.968	0.888	24566.921	-3849.258	3184.311	
2.969	0.889	24566.944	-3849.255	3184.307	
2.97	0.89	24566.969	-3849.252	3184.302	
2.971	0.891	24566.992	-3849.248	3184.297	
2.972	0.892	24567.015	-3849.245	3184.292	
2.973	0.894	24567.039	-3849.242	3184.288	
2.974	0.895	24567.064	-3849.239	3184.283	
2.975	0.896	24567.087	-3849.235	3184.278	
2.976	0.897	24567.112	-3849.232	3184.273	
2.977	0.898	24567.135	-3849.229	3184.268	
2.978	0.899	24567.16	-3849.226	3184.263	
2.979	0.9	24567.183	-3849.222	3184.259	
2.98	0.901	24567.207	-3849.219	3184.254	
2.981	0.902	24567.23	-3849.216	3184.249	
2.982	0.903	24567.255	-3849.213	3184.244	
2.983	0.904	24567.278	-3849.209	3184.239	
2.984	0.906	24567.303	-3849.206	3184.235	
2.985	0.907	24567.326	-3849.203	3184.23	
2.986	0.908	24567.35	-3849.2	3184.225	
2.987	0.909	24567.375	-3849.196	3184.22	
2.988	0.91	24567.398	-3849.193	3184.215	
2.989	0.911	24567.423	-3849.19	3184.211	
2.99	0.912	24567.446	-3849.187	3184.206	
2.991	0.913	24567.471	-3849.183	3184.201	
2.992	0.914	24567.495	-3849.18	3184.196	
2.993	0.915	24567.518	-3849.177	3184.191	
2.994	0.917	24567.543	-3849.174	3184.186	
2.995	0.918	24567.566	-3849.17	3184.181	
2.996	0.919	24567.591	-3849.167	3184.176	
2.997	0.92	24567.616	-3849.164	3184.172	
2.998	0.921	24567.638	-3849.161	3184.167	
2.999	0.922	24567.663	-3849.157	3184.162	
3	0.923	24567.688	-3849.154	3184.157	
3.001	0.924	24567.711	-3849.151	3184.152	
3.002	0.925	24567.736	-3849.148	3184.147	
3.003	0.926	24567.76	-3849.144	3184.143	
3.004	0.928	24567.783	-3849.141	3184.138	
3.005	0.929	24567.808	-3849.138	3184.133	
3.006	0.93	24567.833	-3849.134	3184.128	
3.007	0.931	24567.856	-3849.131	3184.123	
3.008	0.932	24567.881	-3849.128	3184.118	
3.009	0.933	24567.905	-3849.125	3184.113	
3.01	0.934	24567.93	-3849.121	3184.108	
3.011	0.935	24567.953	-3849.118	3184.103	
3.012	0.936	24567.978	-3849.115	3184.098	
3.013	0.938	24568.003	-3849.111	3184.094	
3.014	0.939	24568.027	-3849.108	3184.089	
3.015	0.94	24568.05	-3849.105	3184.084	
3.016	0.941	24568.075	-3849.102	3184.079	
3.017	0.942	24568.1	-3849.098	3184.074	
3.018	0.943	24568.125	-3849.095	3184.069	
3.019	0.944	24568.148	-3849.092	3184.064	
3.02	0.945	24568.172	-3849.088	3184.059	
3.021	0.946	24568.197	-3849.085	3184.054	
3.022	0.948	24568.222	-3849.082	3184.049	
3.023	0.949	24568.245	-3849.078	3184.044	
3.024	0.95	24568.27	-3849.075	3184.04	
3.025	0.951	24568.295	-3849.072	3184.035	
3.026	0.952	24568.319	-3849.068	3184.03	
3.027	0.953	24568.344	-3849.065	3184.025	
3.028	0.954	24568.369	-3849.062	3184.02	
3.029	0.955	24568.392	-3849.059	3184.015	
3.03	0.957	24568.417	-3849.055	3184.01	
3.031	0.958	24568.441	-3849.052	3184.005	
3.032	0.959	24568.466	-3849.049	3184	
3.033	0.96	24568.491	-3849.045	3183.995	
3.034	0.961	24568.516	-3849.042	3183.99	
3.035	0.962	24568.539	-3849.039	3183.985	
3.036	0.963	24568.563	-3849.035	3183.98	
3.037	0.964	24568.588	-3849.032	3183.975	
3.038	0.965	24568.613	-3849.029	3183.97	
3.039	0.967	24568.638	-3849.025	3183.965	
3.04	0.968	24568.663	-3849.022	3183.96	
3.041	0.969	24568.687	-3849.019	3183.955	
3.042	0.97	24568.712	-3849.015	3183.95	
3.043	0.971	24568.737	-3849.012	3183.945	
3.044	0.972	24568.762	-3849.009	3183.94	
3.045	0.973	24568.785	-3849.005	3183.935	
3.046	0.974	24568.81	-3849.002	3183.93	
3.047	0.976	24568.834	-3848.999	3183.925	
3.048	0.977	24568.859	-3848.995	3183.92	
3.049	0.978	24568.884	-3848.992	3183.915	
3.05	0.979	24568.909	-3848.989	3183.91	
3.051	0.98	24568.933	-3848.985	3183.905	
3.052	0.981	24568.958	-3848.982	3183.9	
3.053	0.982	24568.983	-3848.979	3183.895	
3.054	0.984	24569.008	-3848.975	3183.89	
3.055	0.985	24569.033	-3848.972	3183.885	
3.056	0.986	24569.057	-3848.969	3183.88	
3.057	0.987	24569.082	-3848.965	3183.875	
3.058	0.988	24569.107	-3848.962	3183.87	
3.059	0.989	24569.132	-3848.958	3183.865	
3.06	0.99	24569.157	-3848.955	3183.86	
3.061	0.991	24569.181	-3848.952	3183.855	
3.062	0.993	24569.206	-3848.948	3183.85	
3.063	0.994	24569.231	-3848.945	3183.845	
3.064	0.995	24569.256	-3848.942	3183.84	
3.065	0.996	24569.281	-3848.938	3183.835	
3.066	0.997	24569.305	-3848.935	3183.83	
3.067	0.998	24569.33	-3848.932	3183.825	
3.068	0.999	24569.355	-3848.928	3183.82	
3.069	1.001	24569.38	-3848.925	3183.815	
3.07	1.002	24569.407	-3848.921	3183.81	
3.071	1.003	24569.431	-3848.918	3183.805	
3.072	1.004	24569.456	-3848.915	3183.8	
3.073	1.005	24569.481	-3848.911	3183.794	
3.074	1.006	24569.506	-3848.908	3183.789	
3.075	1.007	24569.53	-3848.904	3183.784	
3.076	1.009	24569.555	-3848.901	3183.779	
3.077	1.01	24569.58	-3848.898	3183.774	
3.078	1.011	24569.605	-3848.894	3183.769	
3.079	1.012	24569.63	-3848.891	3183.764	
3.08	1.013	24569.656	-3848.887	3183.759	
3.081	1.014	24569.681	-3848.884	3183.754	
3.082	1.015	24569.706	-3848.881	3183.748	
3.083	1.017	24569.731	-3848.877	3183.743	
3.084	1.018	24569.756	-3848.874	3183.738	
3.085	1.019	24569.78	-3848.871	3183.733	
3.086	1.02	24569.807	-3848.867	3183.728	
3.087	1.021	24569.832	-3848.864	3183.723	
3.088	1.022	24569.857	-3848.86	3183.718	
3.089	1.023	24569.881	-3848.857	3183.713	
3.09	1.025	24569.906	-3848.853	3183.708	
3.091	1.026	24569.931	-3848.85	3183.702	
3.092	1.027	24569.958	-3848.847	3183.697	
3.093	1.028	24569.983	-3848.843	3183.692	
3.094	1.029	24570.007	-3848.84	3183.687	
3.095	1.03	24570.032	-3848.836	3183.682	
3.096	1.032	24570.059	-3848.833	3183.677	
3.097	1.033	24570.084	-3848.83	3183.672	
3.098	1.034	24570.108	-3848.826	3183.667	
3.099	1.035	24570.133	-3848.823	3183.661	
3.1	1.036	24570.16	-3848.819	3183.656	
3.101	1.037	24570.185	-3848.816	3183.651	
3.102	1.038	24570.21	-3848.812	3183.646	
3.103	1.04	24570.234	-3848.809	3183.641	
3.104	1.041	24570.261	-3848.805	3183.636	
3.105	1.042	24570.286	-3848.802	3183.63	
3.106	1.043	24570.311	-3848.799	3183.625	
3.107	1.044	24570.337	-3848.795	3183.62	
3.108	1.045	24570.362	-3848.792	3183.615	
3.109	1.047	24570.387	-3848.788	3183.61	
3.11	1.048	24570.412	-3848.785	3183.605	
3.111	1.049	24570.438	-3848.781	3183.599	
3.112	1.05	24570.463	-3848.778	3183.594	
3.113	1.051	24570.488	-3848.774	3183.589	
3.114	1.052	24570.515	-3848.771	3183.584	
3.115	1.054	24570.539	-3848.768	3183.579	
3.116	1.055	24570.566	-3848.764	3183.573	
3.117	1.056	24570.591	-3848.761	3183.568	
3.118	1.057	24570.616	-3848.757	3183.563	
3.119	1.058	24570.642	-3848.754	3183.558	
3.12	1.059	24570.667	-3848.75	3183.553	
3.121	1.061	24570.692	-3848.747	3183.547	
3.122	1.062	24570.719	-3848.743	3183.542	
3.123	1.063	24570.744	-3848.74	3183.537	
3.124	1.064	24570.77	-3848.737	3183.532	
3.125	1.065	24570.795	-3848.733	3183.527	
3.126	1.066	24570.82	-3848.73	3183.521	
3.127	1.068	24570.847	-3848.726	3183.516	
3.128	1.069	24570.871	-3848.723	3183.511	
3.129	1.07	24570.898	-3848.719	3183.506	
3.13	1.071	24570.923	-3848.716	3183.5	
3.131	1.072	24570.95	-3848.712	3183.495	
3.132	1.073	24570.974	-3848.709	3183.49	
3.133	1.075	24571.001	-3848.705	3183.485	
3.134	1.076	24571.026	-3848.702	3183.479	
3.135	1.077	24571.051	-3848.698	3183.474	
3.136	1.078	24571.077	-3848.695	3183.469	
3.137	1.079	24571.102	-3848.691	3183.464	
3.138	1.081	24571.129	-3848.688	3183.458	
3.139	1.082	24571.154	-3848.684	3183.453	
3.14	1.083	24571.18	-3848.681	3183.448	
3.141	1.084	24571.205	-3848.677	3183.443	
3.142	1.085	24571.232	-3848.674	3183.437	
3.143	1.086	24571.257	-3848.67	3183.432	
3.144	1.088	24571.283	-3848.667	3183.427	
3.145	1.089	24571.308	-3848.663	3183.421	
3.146	1.09	24571.335	-3848.66	3183.416	
3.147	1.091	24571.362	-3848.656	3183.411	
3.148	1.092	24571.386	-3848.653	3183.405	
3.149	1.094	24571.413	-3848.649	3183.4	
3.15	1.095	24571.438	-3848.646	3183.395	
3.151	1.096	24571.465	-3848.642	3183.39	
3.152	1.097	24571.489	-3848.639	3183.384	
3.153	1.098	24571.516	-3848.635	3183.379	
3.154	1.099	24571.543	-3848.632	3183.374	
3.155	1.101	24571.568	-3848.628	3183.368	
3.156	1.102	24571.594	-3848.625	3183.363	
3.157	1.103	24571.619	-3848.621	3183.358	
3.158	1.104	24571.646	-3848.618	3183.352	
3.159	1.105	24571.672	-3848.614	3183.347	
3.16	1.107	24571.697	-3848.611	3183.342	
3.161	1.108	24571.724	-3848.607	3183.336	
3.162	1.109	24571.751	-3848.604	3183.331	
3.163	1.11	24571.775	-3848.6	3183.326	
3.164	1.111	24571.802	-3848.597	3183.32	
3.165	1.113	24571.827	-3848.593	3183.315	
3.166	1.114	24571.854	-3848.589	3183.31	
3.167	1.115	24571.88	-3848.586	3183.304	
3.168	1.116	24571.905	-3848.583	3183.299	
3.169	1.117	24571.932	-3848.579	3183.294	
3.17	1.118	24571.959	-3848.575	3183.288	
3.171	1.12	24571.985	-3848.572	3183.283	
3.172	1.121	24572.01	-3848.568	3183.278	
3.173	1.122	24572.037	-3848.565	3183.272	
3.174	1.123	24572.063	-3848.561	3183.267	
3.175	1.124	24572.088	-3848.558	3183.261	
3.176	1.126	24572.115	-3848.554	3183.256	
3.177	1.127	24572.142	-3848.551	3183.251	
3.178	1.128	24572.168	-3848.547	3183.245	
3.179	1.129	24572.193	-3848.543	3183.24	
3.18	1.13	24572.22	-3848.54	3183.234	
3.181	1.132	24572.247	-3848.536	3183.229	
3.182	1.133	24572.273	-3848.533	3183.224	
3.183	1.134	24572.298	-3848.529	3183.218	
3.184	1.135	24572.325	-3848.526	3183.213	
3.185	1.136	24572.351	-3848.522	3183.208	
3.186	1.138	24572.378	-3848.518	3183.202	
3.187	1.139	24572.403	-3848.515	3183.197	
3.188	1.14	24572.43	-3848.511	3183.191	
3.189	1.141	24572.456	-3848.508	3183.186	
3.19	1.142	24572.483	-3848.504	3183.18	
3.191	1.144	24572.51	-3848.501	3183.175	
3.192	1.145	24572.536	-3848.497	3183.169	
3.193	1.146	24572.561	-3848.494	3183.164	
3.194	1.147	24572.588	-3848.49	3183.159	
3.195	1.149	24572.615	-3848.486	3183.153	
3.196	1.15	24572.641	-3848.483	3183.148	
3.197	1.151	24572.668	-3848.479	3183.142	
3.198	1.152	24572.695	-3848.475	3183.137	
3.199	1.153	24572.721	-3848.472	3183.131	
3.2	1.155	24572.746	-3848.468	3183.126	
3.201	1.156	24572.773	-3848.465	3183.12	
3.202	1.157	24572.8	-3848.461	3183.115	
3.203	1.158	24572.826	-3848.458	3183.11	
3.204	1.159	24572.853	-3848.454	3183.104	
3.205	1.161	24572.88	-3848.45	3183.099	
3.206	1.162	24572.906	-3848.447	3183.093	
3.207	1.163	24572.933	-3848.443	3183.088	
3.208	1.164	24572.96	-3848.44	3183.082	
3.209	1.166	24572.987	-3848.436	3183.077	
3.21	1.167	24573.011	-3848.432	3183.071	
3.211	1.168	24573.038	-3848.429	3183.066	
3.212	1.169	24573.065	-3848.425	3183.06	
3.213	1.17	24573.092	-3848.422	3183.055	
3.214	1.172	24573.118	-3848.418	3183.049	
3.215	1.173	24573.145	-3848.414	3183.044	
3.216	1.174	24573.172	-3848.411	3183.038	
3.217	1.175	24573.198	-3848.407	3183.033	
3.218	1.176	24573.225	-3848.403	3183.027	
3.219	1.178	24573.252	-3848.4	3183.022	
3.22	1.179	24573.278	-3848.396	3183.016	
3.221	1.18	24573.305	-3848.392	3183.011	
3.222	1.181	24573.332	-3848.389	3183.005	
3.223	1.183	24573.359	-3848.385	3183	
3.224	1.184	24573.385	-3848.382	3182.994	
3.225	1.185	24573.412	-3848.378	3182.989	
3.226	1.186	24573.439	-3848.374	3182.983	
3.227	1.187	24573.465	-3848.371	3182.977	
3.228	1.189	24573.492	-3848.367	3182.972	
3.229	1.19	24573.521	-3848.364	3182.966	
3.23	1.191	24573.547	-3848.36	3182.961	
3.231	1.192	24573.574	-3848.356	3182.955	
3.232	1.194	24573.601	-3848.353	3182.95	
3.233	1.195	24573.627	-3848.349	3182.944	
3.234	1.196	24573.654	-3848.345	3182.939	
3.235	1.197	24573.681	-3848.342	3182.933	
3.236	1.199	24573.708	-3848.338	3182.927	
3.237	1.2	24573.734	-3848.334	3182.922	
3.238	1.201	24573.761	-3848.331	3182.916	
3.239	1.202	24573.788	-3848.327	3182.911	
3.24	1.203	24573.816	-3848.323	3182.905	
3.241	1.205	24573.843	-3848.32	3182.899	
3.242	1.206	24573.87	-3848.316	3182.894	
3.243	1.207	24573.896	-3848.312	3182.888	
3.244	1.208	24573.923	-3848.309	3182.883	
3.245	1.21	24573.95	-3848.305	3182.877	
3.246	1.211	24573.978	-3848.301	3182.872	
3.247	1.212	24574.005	-3848.298	3182.866	
3.248	1.213	24574.032	-3848.294	3182.86	
3.249	1.215	24574.059	-3848.29	3182.855	
3.25	1.216	24574.085	-3848.287	3182.849	
3.251	1.217	24574.112	-3848.283	3182.843	
3.252	1.218	24574.141	-3848.279	3182.838	
3.253	1.22	24574.167	-3848.276	3182.832	
3.254	1.221	24574.194	-3848.272	3182.827	
3.255	1.222	24574.221	-3848.268	3182.821	
3.256	1.223	24574.249	-3848.265	3182.815	
3.257	1.225	24574.276	-3848.261	3182.81	
3.258	1.226	24574.303	-3848.257	3182.804	
3.259	1.227	24574.329	-3848.253	3182.799	
3.26	1.228	24574.358	-3848.25	3182.793	
3.261	1.23	24574.385	-3848.246	3182.787	
3.262	1.231	24574.411	-3848.243	3182.781	
3.263	1.232	24574.438	-3848.239	3182.776	
3.264	1.233	24574.467	-3848.235	3182.77	
3.265	1.235	24574.493	-3848.231	3182.765	
3.266	1.236	24574.52	-3848.228	3182.759	
3.267	1.237	24574.547	-3848.224	3182.753	
3.268	1.238	24574.575	-3848.22	3182.748	
3.269	1.24	24574.602	-3848.217	3182.742	
3.27	1.241	24574.629	-3848.213	3182.736	
3.271	1.242	24574.657	-3848.209	3182.73	
3.272	1.243	24574.684	-3848.206	3182.725	
3.273	1.245	24574.711	-3848.202	3182.719	
3.274	1.246	24574.739	-3848.198	3182.714	
3.275	1.247	24574.766	-3848.194	3182.708	
3.276	1.248	24574.793	-3848.191	3182.702	
3.277	1.25	24574.821	-3848.187	3182.696	
3.278	1.251	24574.848	-3848.183	3182.691	
3.279	1.252	24574.877	-3848.179	3182.685	
3.28	1.253	24574.903	-3848.176	3182.679	
3.281	1.255	24574.93	-3848.172	3182.673	
3.282	1.256	24574.959	-3848.168	3182.668	
3.283	1.257	24574.986	-3848.165	3182.662	
3.284	1.258	24575.014	-3848.161	3182.657	
3.285	1.26	24575.041	-3848.157	3182.651	
3.286	1.261	24575.068	-3848.153	3182.645	
3.287	1.262	24575.096	-3848.15	3182.639	
3.288	1.263	24575.123	-3848.146	3182.633	
3.289	1.265	24575.151	-3848.142	3182.628	
3.29	1.266	24575.178	-3848.138	3182.622	
3.291	1.267	24575.207	-3848.135	3182.616	
3.292	1.268	24575.233	-3848.131	3182.611	
3.293	1.27	24575.262	-3848.127	3182.605	
3.294	1.271	24575.289	-3848.123	3182.599	
3.295	1.272	24575.317	-3848.12	3182.593	
3.296	1.273	24575.344	-3848.116	3182.587	
3.297	1.275	24575.373	-3848.112	3182.582	
3.298	1.276	24575.399	-3848.108	3182.576	
3.299	1.277	24575.428	-3848.105	3182.57	
3.3	1.279	24575.455	-3848.101	3182.564	
3.301	1.28	24575.483	-3848.097	3182.559	
3.302	1.281	24575.51	-3848.093	3182.553	
3.303	1.282	24575.539	-3848.09	3182.547	
3.304	1.284	24575.565	-3848.086	3182.541	
3.305	1.285	24575.594	-3848.082	3182.535	
3.306	1.286	24575.621	-3848.078	3182.53	
3.307	1.287	24575.649	-3848.074	3182.524	
3.308	1.289	24575.676	-3848.071	3182.518	
3.309	1.29	24575.705	-3848.067	3182.512	
3.31	1.291	24575.733	-3848.063	3182.507	
3.311	1.293	24575.76	-3848.059	3182.501	
3.312	1.294	24575.788	-3848.056	3182.495	
3.313	1.295	24575.815	-3848.052	3182.489	
3.314	1.296	24575.844	-3848.048	3182.483	
3.315	1.298	24575.872	-3848.044	3182.477	
3.316	1.299	24575.899	-3848.041	3182.472	
3.317	1.3	24575.928	-3848.037	3182.466	
3.318	1.301	24575.954	-3848.033	3182.46	
3.319	1.303	24575.983	-3848.029	3182.454	
3.32	1.304	24576.012	-3848.025	3182.448	
3.321	1.305	24576.038	-3848.022	3182.442	
3.322	1.307	24576.067	-3848.018	3182.436	
3.323	1.308	24576.096	-3848.014	3182.431	
3.324	1.309	24576.122	-3848.01	3182.425	
3.325	1.31	24576.151	-3848.006	3182.419	
3.326	1.312	24576.18	-3848.002	3182.413	
3.327	1.313	24576.206	-3847.999	3182.407	
3.328	1.314	24576.235	-3847.995	3182.401	
3.329	1.316	24576.263	-3847.991	3182.395	
3.33	1.317	24576.292	-3847.987	3182.39	
3.331	1.318	24576.319	-3847.983	3182.384	
3.332	1.319	24576.347	-3847.98	3182.378	
3.333	1.321	24576.376	-3847.976	3182.372	
3.334	1.322	24576.403	-3847.972	3182.366	
3.335	1.323	24576.431	-3847.968	3182.36	
3.336	1.325	24576.46	-3847.964	3182.354	
3.337	1.326	24576.488	-3847.96	3182.348	
3.338	1.327	24576.515	-3847.957	3182.343	
3.339	1.328	24576.544	-3847.953	3182.337	
3.34	1.33	24576.572	-3847.949	3182.331	
3.341	1.331	24576.601	-3847.945	3182.325	
3.342	1.332	24576.63	-3847.941	3182.319	
3.343	1.334	24576.656	-3847.938	3182.313	
3.344	1.335	24576.685	-3847.934	3182.307	
3.345	1.336	24576.714	-3847.93	3182.301	
3.346	1.337	24576.742	-3847.926	3182.295	
3.347	1.339	24576.771	-3847.922	3182.289	
3.348	1.34	24576.797	-3847.918	3182.283	
3.349	1.341	24576.826	-3847.914	3182.277	
3.35	1.343	24576.855	-3847.911	3182.271	
3.351	1.344	24576.883	-3847.907	3182.266	
3.352	1.345	24576.912	-3847.903	3182.26	
3.353	1.347	24576.941	-3847.899	3182.254	
3.354	1.348	24576.969	-3847.895	3182.248	
3.355	1.349	24576.996	-3847.891	3182.242	
3.356	1.35	24577.024	-3847.888	3182.236	
3.357	1.352	24577.053	-3847.884	3182.23	
3.358	1.353	24577.082	-3847.88	3182.224	
3.359	1.354	24577.11	-3847.876	3182.218	
3.36	1.356	24577.139	-3847.872	3182.212	
3.361	1.357	24577.168	-3847.868	3182.206	
3.362	1.358	24577.196	-3847.864	3182.2	
3.363	1.36	24577.225	-3847.861	3182.194	
3.364	1.361	24577.253	-3847.857	3182.188	
3.365	1.362	24577.282	-3847.853	3182.182	
3.366	1.363	24577.311	-3847.849	3182.176	
3.367	1.365	24577.337	-3847.845	3182.17	
3.368	1.366	24577.366	-3847.841	3182.164	
3.369	1.367	24577.394	-3847.837	3182.158	
3.37	1.369	24577.423	-3847.833	3182.152	
3.371	1.37	24577.452	-3847.83	3182.146	
3.372	1.371	24577.48	-3847.826	3182.14	
3.373	1.373	24577.509	-3847.822	3182.134	
3.374	1.374	24577.538	-3847.818	3182.128	
3.375	1.375	24577.566	-3847.814	3182.122	
3.376	1.377	24577.595	-3847.81	3182.116	
3.377	1.378	24577.623	-3847.806	3182.11	
3.378	1.379	24577.652	-3847.802	3182.104	
3.379	1.381	24577.681	-3847.798	3182.097	
3.38	1.382	24577.711	-3847.795	3182.091	
3.381	1.383	24577.74	-3847.79	3182.086	
3.382	1.384	24577.768	-3847.787	3182.079	
3.383	1.386	24577.797	-3847.783	3182.073	
3.384	1.387	24577.826	-3847.779	3182.067	
3.385	1.388	24577.854	-3847.775	3182.061	
3.386	1.39	24577.883	-3847.771	3182.055	
3.387	1.391	24577.911	-3847.767	3182.049	
3.388	1.392	24577.94	-3847.763	3182.043	
3.389	1.394	24577.969	-3847.759	3182.037	
3.39	1.395	24577.997	-3847.755	3182.031	
3.391	1.396	24578.026	-3847.751	3182.025	
3.392	1.398	24578.056	-3847.748	3182.019	
3.393	1.399	24578.085	-3847.744	3182.013	
3.394	1.4	24578.114	-3847.74	3182.006	
3.395	1.402	24578.142	-3847.736	3182	
3.396	1.403	24578.171	-3847.732	3181.994	
3.397	1.404	24578.199	-3847.728	3181.988	
3.398	1.406	24578.228	-3847.724	3181.982	
3.399	1.407	24578.259	-3847.72	3181.976	
3.4	1.408	24578.287	-3847.716	3181.97	
3.401	1.41	24578.316	-3847.712	3181.964	
3.402	1.411	24578.344	-3847.708	3181.957	
3.403	1.412	24578.373	-3847.704	3181.952	
3.404	1.414	24578.403	-3847.7	3181.945	
3.405	1.415	24578.432	-3847.696	3181.939	
3.406	1.416	24578.461	-3847.692	3181.933	
3.407	1.418	24578.489	-3847.688	3181.927	
3.408	1.419	24578.518	-3847.685	3181.921	
3.409	1.42	24578.548	-3847.681	3181.915	
3.41	1.422	24578.577	-3847.677	3181.908	
3.411	1.423	24578.606	-3847.673	3181.902	
3.412	1.424	24578.634	-3847.669	3181.896	
3.413	1.426	24578.665	-3847.665	3181.89	
3.414	1.427	24578.693	-3847.661	3181.884	
3.415	1.428	24578.722	-3847.657	3181.878	
3.416	1.43	24578.751	-3847.653	3181.871	
3.417	1.431	24578.781	-3847.649	3181.865	
3.418	1.432	24578.81	-3847.645	3181.859	
3.419	1.434	24578.838	-3847.641	3181.853	
